date,ratio,emc,vkh
1997 01 ,3.45,22.93,790
1997 02 ,2.15,15.46,539
1997 03 ,1.89,12.61,535
1997 04 ,2.03,12.84,523
1997 05 ,2.25,15.38,552
1997 06 ,2.2,13.43,589
1997 07 ,2.19,11.59,592
1997 08 ,2.49,15.1,894
1997 09 ,2.88,14.87,861
1997 10 ,3.07,14.9,645
1997 11 ,3.01,15.22,642
1997 12 ,2.35,16.11,1165
1998 01 ,2.09,18.65,998
1998 02 ,2.23,17.75,568
1998 03 ,2.24,18.3,602
1998 04 ,2.43,18.68,583
1998 05 ,2.14,19.44,612
1998 06 ,2.17,20.07,618
1998 07 ,2.17,21.34,607
1998 08 ,1.85,20.31,983
1998 09 ,2.02,19.53,903
1998 10 ,1.91,19.86,669
1998 11 ,2.12,18.85,692
1998 12 ,1.72,17.28,1273
1999 01 ,1.85,17.13,1053
1999 02 ,1.77,16.8,635
1999 03 ,1.79,16.2,634
1999 04 ,2.15,17.86,610
1999 05 ,2.26,17.42,684
1999 06 ,2.3,16.53,724
1999 07 ,2.31,15.5,678
1999 08 ,2.8,15.52,1154
1999 09 ,2.55,14.54,1022
1999 10 ,2.73,13.77,732
1999 11 ,2.37,14.14,772
1999 12 ,2.36,16.38,1409
2000 01 ,2.42,18.02,1308
2000 02 ,2.66,17.94,718
2000 03 ,2.79,19.48,695
2000 04 ,3.04,21.07,688
2000 05 ,3.59,20.12,785
2000 06 ,4.29,20.05,808
2000 07 ,3.99,19.78,782
2000 08 ,4.43,18.58,1248
2000 09 ,5.06,19.59,1102
2000 10 ,5.02,20.1,746
2000 11 ,5.52,19.86,850
2000 12 ,8.9,21.1,1466
2001 01 ,8.17,22.86,1373
2001 02 ,5.61,22.11,757
2001 03 ,5.23,20.39,743
2001 04 ,5.19,18.43,750
2001 05 ,4.19,18.2,853
2001 06 ,3.72,16.7,838
2001 07 ,3.11,18.45,786
2001 08 ,2.97,27.31,1359
2001 09 ,2.19,33.51,1040
2001 10 ,2.46,36.04,899
2001 11 ,2.34,32.33,908
2001 12 ,2.3,27.28,1599
2002 01 ,2.32,25.23,1558
2002 02 ,2.32,20.48,825
2002 03 ,3.03,19.9,813
2002 04 ,3.43,20.83,806
2002 05 ,3.5,21.23,894
